Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
CC,D2,1,3,34.5,44.4,137,recovery
CC,D2,NA,NA,34.6,44.5,138,PD
R500,WW,NA,NA,34.85,44.75,142,MD
CC,D2,3,2,35,44.9,137,recovery
CC,D2,1,1,35.1,45,137,recovery
R500,D1,NA,2,35.1,45,138,recovery
CC,D2,NA,NA,35.35,45.25,138,Recovery
R500,D1,NA,NA,35.55,45.45,138,PD
R500,WW,NA,NA,35.65,45.55,138,PD
CC,D2,NA,NA,35.65,45.55,138,PD
CC,D1,NA,NA,35.7,45.6,135,MD
CC,D2,NA,NA,35.8,45.7,138,Recovery
CC,WW,NA,4,36.4,46.3,138,post
CC,D1,NA,NA,36.4,46.3,135,PD
CC,D1,NA,NA,36.45,46.35,135,PD
CC,D1,NA,NA,36.65,46.55,135,MD
CC,D1,NA,3,36.8,46.7,137,recovery
R500,D1,NA,1,36.8,46.7,138,recovery
CC,D2,NA,NA,36.8,46.7,138,PD
CC,D2,NA,NA,37,46.9,138,Recovery
CC,D2,NA,NA,37.05,46.95,138,Recovery
CC,D1,NA,3,37.1,47,138,recovery
CC,WW,NA,3,37.1,47,138,post
CC,D2,NA,NA,37.55,47.45,138,PD
R500,WW,NA,NA,37.65,47.55,140,MD
R500,D1,NA,NA,37.7,47.6,138,PD
CC,D2,NA,3,38,47.9,138,recovery
CC,WW,NA,2,38.2,48.1,138,post
R500,D1,NA,4,38.4,48.3,138,recovery
R500,D1,NA,NA,38.5,48.4,138,PD
R500,WW,NA,NA,38.65,48.55,138,PD
CC,D2,NA,2,38.9,48.8,138,recovery
R500,WW,NA,NA,39.2,49.1,140,PD
R500,WW,NA,NA,39.4,49.3,142,MD
CC,D1,NA,NA,39.75,49.65,135,MD
R500,D1,NA,3,40.9,50.8,138,recovery
R500,D1,NA,5,41,50.9,138,recovery
R500,WW,NA,NA,41.35,51.25,140,MD
CC,D2,NA,NA,42.05,51.95,138,PD
R500,WW,NA,1,45.3,55.2,138,post
R500,WW,NA,2,48.1,58,138,post
